Citation Number	Date Issued	Time Issued	Location	District	Cited Person Age	Cited Person Sex	Cited Person Race	Offense Code	Offense Description	Officer Age	Officer Sex	Officer Race
    C4297	12/11/2016	1:20:00 PM	N COLLEGE AVE & W 7TH ST	LB101	F	W	41	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4286	12/5/2016	7:55:00 PM	S ROGERS ST & W KIRKWOOD AVE	LB101	M	A	23	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4283	12/4/2016	8:45:00 PM	S ROGERS ST & W DAVIS ST	LB412	M	W	69	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4255	11/21/2016	4:43:00 PM	N MORTON ST & W 7TH ST	LB101	F	W	29	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4243	11/16/2016	3:15:00 PM	W STATE ROAD 45 & S CURRY PIKE	LB427	F	W	22	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4242	11/16/2016	2:15:00 PM	E SMITH AVE & S GRANT ST	LB104	F	W	65	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4213	11/4/2016	8:10:00 PM	W 11TH ST & N ROGERS ST	LB519	F	W	22	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4214	11/4/2016	3:55:00 PM	E 3RD ST & E MORNINGSIDE DR	LB219	M	W	48	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4200	11/3/2016	2:50:00 PM	S COLLEGE MALL RD & E 3RD ST	LB305	F	W	43	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4157	10/28/2016	7:40:00 PM	N MADISON ST & W 17TH ST	LB519	M	W	24	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4158	10/28/2016	5:00:00 PM	N COLLEGE AVE & W 14TH ST	LB519	F	W	34	9-18-2-7	EXPIRED LICENSE PLATES	30	M	W
    C4228	11/14/2016	1:24:00 AM	W BLOOMFIELD RD & S OAKDALE DR	LB417	M	W	40	9-24-19-1	DRIVING WHILE SUSPENDED	30	M	B
    C4222	11/13/2016	2:21:00 AM	319 N WALNUT ST; KILROYS SPORTS BAR	LB101	U	U	20	7.1-5-7-3	POSSESSION/FALSE ID	30	M	B
    C4218	11/12/2016	12:26:00 PM	1202 N LINCOLN ST; APT 1	LB213	M	B	25	14.09.030	NOISE VIOLATION	30	M	B
    C4219	11/12/2016	12:26:00 PM	1204 N LINCOLN ST	LB213	M	W	19	14.09.030	NOISE VIOLATION	30	M	B
    C4147	10/23/2016	8:41:00 PM	S COLLEGE MALL RD & E COVENANTER DR	LB310	F	A	19	9-25-8-2	OPERATING/PERMITTING OPERATION W/O FINAN	25	M	W
    C4119	10/18/2016	7:10:00 PM	S CURRY PIKE & W 3RD ST	LB402	M	W	34	9-24-19-1	DRIVING WHILE SUSPENDED	25	M	W
    C4099	10/14/2016	3:48:00 PM	S WALNUT ST & E GRIMES LN	LB411	F	W	27	9-18-2-7	EXPIRED LICENSE PLATES	25	M	W
    C4257	11/24/2016	3:48:00 AM	S COLLEGE MALL RD & E 3RD ST	LB305	F	A	22	9-21-5-2	SPEED MAXIMUM	32	M	W
    C4305	12/14/2016	9:00:00 AM	4200 W STATE ROAD 45	LMS27	F	W	19	9-24-19-1	DRIVING WHILE SUSPENDED	44	M	W
    C4277	12/1/2016	10:53:00 PM	S STATE ROAD 37 & W 3RD ST	LB403	F	U	18	9-21-5-2	SPEED MAXIMUM	28	M	W
    C4223	11/13/2016	11:06:00 PM	1724 E HILLSIDE DR; BEECHTREE APARTMENTS	LB317	M	W	27	9-19-6-3	NO OR IMPROPER HEADLIGHTS	28	M	W
